Tonga,Gloss,Type,Status,C1,C2,Vowel,Time,F0,minimal,C1.class,C2.class,C1.class.reg,C2.class.reg
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,7,162.9105706,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,8,165.9361193,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,9,169.7117154,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,10,172.3892951,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,1,179.9093524,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,2,182.0592145,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,3,184.2090765,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,4,185.4598231,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,5,186.1255205,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,6,186.2947097,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,7,185.7225496,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,8,184.5963453,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,9,183.3504486,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,ku-,k,lw,u,10,182.7775814,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,1,178.3182785,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,2,175.9911238,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,3,173.9539566,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,4,172.4067147,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,5,171.4802089,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,6,170.9005612,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,7,171.2079501,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,8,171.7868164,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,9,172.6831133,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,stem,k,lw,o,10,173.7842217,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,FV,k,lw,a,1,177.5839807,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,FV,k,lw,a,2,179.8185748,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,FV,k,lw,a,3,181.4288529,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,FV,k,lw,a,4,182.3002784,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
